id,title,company_name,venue,date,exp_year,level,salary,edu,src_pic
24,"Nhân Viên Kỹ Thuật IT (Phần Cứng)","Công ty Cổ Phần Đầu Tư Công Nghệ HACOM","Hà Nội",30/11/2023,"Yêu cầu kinh nghiệm","2 tháng","10 - 11 triệu","Trung cấp",https://cdn1.vieclam24h.vn/images/default/2022/08/02/images/165941441315.jpeg
25,"Nhân Viên Kỹ Thuật IT Phần Cứng","Công Ty TNHH Máy Tính Hoàng Gia","Hà Nội",30/11/2023,"Yêu cầu kinh nghiệm","Chuyên viên- nhân viên","8 - 12 triệu","Trung cấp",https://cdn1.vieclam24h.vn/images/employer_avatar/2023/11/16/fd88321ff9ee2fb076ff_170011746450.jpg
26,"Nhân Viên Lập Trình -IT","CHI NHÁNH CÔNG TY TNHH EM-TECH VIỆT NAM TẠI NGHỆ AN","Nghệ An",31/12/2023,"Yêu cầu kinh nghiệm","2 tháng","8 - 30 triệu","Cao đẳng",https://cdn1.vieclam24h.vn/upload/files_cua_nguoi_dung/logo/2019/10/02/EM.png
27,"Nhân Viên Kỹ Thuật IT","Công Ty TNHH Dịch Vụ Thiết Bị Văn Phòng Tấn Phát",TP.HCM,22/11/2023,"Yêu cầu kinh nghiệm","2 tháng","7 - 9 triệu","Trung cấp","https://cdn1.vieclam24h.vn/images/default/2023/08/16/Artboard 1@3x_169217771526.png"
28,"Chuyên Viên IT Helpdesk Tại Kim Mã, Hà Nội","Công ty Tài Chính TNHH HD SAISON","Hà Nội",17/12/2023,"Yêu cầu kinh nghiệm","2 tháng","9 - 15 triệu","Trung cấp",https://cdn1.vieclam24h.vn/images/old_employer_avatar/images/0c11a213f45f67450110524c8f0fef87_3104199_vieclam24h_1577951033.png
29,"Chuyên Viên IT Tại Kim Mã, Hà Nội","Công ty Tài Chính TNHH HD SAISON","Hà Nội",30/11/2023,"Yêu cầu kinh nghiệm","2 tháng","9 - 12 triệu","Trung cấp",https://cdn1.vieclam24h.vn/images/old_employer_avatar/images/0c11a213f45f67450110524c8f0fef87_3104199_vieclam24h_1577951033.png
30,"IT Helpdesk (Tiếng Trung)","Công Ty TNHH Polytex Far Eastern (Việt Nam)","Bình Dương",01/12/2023,"Yêu cầu kinh nghiệm","2 tháng","10 - 15 triệu","Cao đẳng",https://cdn1.vieclam24h.vn/tvn/images/old_employer_avatar/images/f2ac86da3f625d5ce1af038322bc21ce_5ba4b64d1ed06_1537521229.jpeg
31,"IT Executive (Software Tại Bắc Ninh)","Ych Protrade - Công Ty TNHH Ych-Protrade","Bắc Ninh",15/12/2023,"Yêu cầu kinh nghiệm","2 tháng","15 - 20 triệu","Trung cấp",https://cdn1.vieclam24h.vn/tvn/images/old_employer_avatar/images/e29083eb377e1b88bad69d4b80852edc_59b25312a9450_1504858898.png
32,"Trưởng Phòng IT","Công Ty TNHH May Mặc Việt Thiên","Vĩnh Phúc",25/11/2023,"Yêu cầu kinh nghiệm","2 tháng","15 - 30 triệu","Cao đẳng",/img/vieclam24h_logo_customer.jpg
33,"Lập Trình Viên - IT Phần Mềm (Không Yêu Cầu Kinh Nghiệm)","Công Ty Cổ Phần Ứng Dụng CNTT Y Tế","Hà Nội",08/12/2023,"Yêu cầu kinh nghiệm","Chuyên viên- nhân viên","7 - 40 triệu","Cao đẳng",https://cdn1.vieclam24h.vn/tvn/images/employer_avatar/2021/07/22/images/162695320973.jpeg
34,"Lập Trình Viên - IT Phần Mềm (Không Cần Kinh Nghiệm)","Công Ty Cổ Phần Ứng Dụng CNTT Y Tế","Hà Nội",08/12/2023,"Yêu cầu kinh nghiệm","Chuyên viên- nhân viên","7 - 40 triệu","Cao đẳng",https://cdn1.vieclam24h.vn/tvn/images/employer_avatar/2021/07/22/images/162695320973.jpeg
35,"Intern Sales IT","Công Ty Cổ Phần Adamo Software","Hà Nội",07/12/2023,"Yêu cầu kinh nghiệm","Chuyên viên- nhân viên","3 - 5 triệu","Đại học","https://cdn1.vieclam24h.vn/images/employer_avatar/2023/11/09/tải xuống_169950094158.png"
36,"Sale phần mềm Hà Nội","Linh Pham","Quận Hà Đông, Hà Nội",05-12-2023,"Đang cập nhật","Nhân Viên","13 - 18 triệu","Đang cập nhật",/images/no_company.png
37,"Cần gấp kiểm thử phần mềm","Beibi HR","Quận 3, Hồ Chí Minh",07-01-2024,"2 năm kinh nghiệm","Nhân Viên","Cập nhật","Đang cập nhật",/images/no_company.png
38,"Nhân Viên Telesales Phần Mềm","CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ TRUYỀN THÔNG VARS VIỆT NAM","Đà Nẵng",16-12-2023,"Dưới 1 năm","Nhân Viên","Cập nhật","Đang cập nhật",/images/no_company.png
39,"Tuyển nhanh kỹ sư phần mềm","Huỳnh Như Ngọc","Quận Cầu Giấy, Hà Nội",03-01-2024,"5 năm kinh nghiệm","Nhân Viên","Cập nhật","Đang cập nhật",/images/no_company.png
40,"Nhân Viên Phần Mềm","CÔNG TY TNHH RORZE ROBOTECH","An Dương, Hải Phòng",01-01-2024,"1 - 2 năm kinh nghiệm","Nhân Viên","Cập nhật","Cử Nhân",https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______ee73e88690876955f7721b5628ec6052.png
41,"Chuyên Viên Kinh Doanh Phần Mềm","CÔNG TY CỔ PHẦN ĐẦU TƯ ROVI HOLDINGS","Tân Bình, Hồ Chí Minh",18-12-2023,"Đang cập nhật","Nhân Viên","20 triệu","Đang cập nhật",https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______43fa9e2deaa8cf07e4b76889d7f07a5c.jpg
42,"Nhân viên kinh doanh phần mềm","CÔNG TY TNHH PHẦN MỀM VÀ DỊCH VỤ CNTT LIINK","Cái Răng, Cần Thơ",06-12-2023,"1 năm","Nhân Viên/ Chuyên Viên","Cập nhật","Đang cập nhật",https://cdn1.123job.vn/123job/uploads/2023/03/22/2023_03_22______af58d3d5f7ae9558ca39e05bfd176348.png
43,"[tuyển gấp] Nhân viên Kinh Doanh Phần mềm","CÔNG TY TNHH MEDIASTEP SOFTWARE VIỆT NAM","Tân Bình, Hồ Chí Minh",17-12-2023,"Đang cập nhật","Nhân Viên","Cập nhật","Đang cập nhật",https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______a8b2e9f1fd8ae66b0cbd6e32d5a49a2c.jpg
44,"[tuyển gấp] Nhân viên Kinh Doanh Phần mềm","CÔNG TY TNHH MEDIASTEP SOFTWARE VIỆT NAM","Tân Bình, Hồ Chí Minh",18-12-2023,"Đang cập nhật","Nhân Viên","40 triệu","Đang cập nhật",https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______a8b2e9f1fd8ae66b0cbd6e32d5a49a2c.jpg
45,"[tuyển gấp] Nhân viên Kinh Doanh Phần mềm","CÔNG TY TNHH MEDIASTEP SOFTWARE VIỆT NAM","Tân Bình, Hồ Chí Minh",18-12-2023,"Đang cập nhật","Nhân Viên","40 triệu","Đang cập nhật",https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______a8b2e9f1fd8ae66b0cbd6e32d5a49a2c.jpg
46,"[tuyển gấp] Nhân viên Kinh Doanh Phần mềm","CÔNG TY TNHH MEDIASTEP SOFTWARE VIỆT NAM","Tân Bình, Hồ Chí Minh",18-12-2023,"Đang cập nhật","Nhân Viên","40 triệu","Đang cập nhật",https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______a8b2e9f1fd8ae66b0cbd6e32d5a49a2c.jpg
47,"Chuyên Viên Phát Triển Phần Mềm","Công Ty TNHH MTV Suất Ăn Hàng Không Việt Nam","Tân Bình, Hồ Chí Minh",05-01-2024,"Trên 3 năm","Nhân Viên","18 - 23 triệu","Đang cập nhật",https://cdn1.123job.vn/123job/uploads/2023/03/09/2023_03_09______59d5e55aa9a8bdf5703b877d147d1034.jpg
48,"THUẬN AN - TUYỂN KỸ THUẬT PHẦN MỀM (CA TỐI)","CÔNG TY CỔ PHẦN XÂY DỰNG VÀ ĐẦU TƯ THƯƠNG MẠI HOÀNG HÀ","Dĩ An, Bình Dương",30-11-2023,"Không yêu cầu","Nhân Viên/ Chuyên Viên","2 - 3.5 triệu","Phổ Thông",https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______89a5b5a03d7bf4ecc50ddc6f75be4128.jpg
49,"Software Engineering (Kỹ Sư Phần Mềm)","CÔNG TY TNHH CÔNG NGHỆ MÁY VĂN PHÒNG KYOCERA VIỆT NAM","Thủy Nguyên, Hải Phòng",11-12-2023,"0 - 1 năm kinh nghiệm","Kỹ Thuật Viên / Kỹ Sư","Cập nhật","Cử Nhân",https://cdn1.123job.vn/123job/uploads/2023/02/09/2023_02_09______c35fa73c42c134fbcd654453418491c9.jpg
50,"HCM - Nhân Viên Kinh Doanh/Tư Vấn Phần Mềm","Công ty Cổ phần Công nghệ KiotViet","Quận 3, Hồ Chí Minh",16-12-2023,"Đang cập nhật","Nhân Viên","15 triệu","Đang cập nhật",https://cdn1.123job.vn/123job/uploads/2023/03/03/2023_03_03______77ce769790713ef2553bb93b7170ae4c.png
51,"[tuyển gấp] Nhân viên Kinh Doanh Phần mềm","CÔNG TY TNHH MEDIASTEP SOFTWARE VIỆT NAM","Tân Bình, Hồ Chí Minh",18-12-2023,"Đang cập nhật","Nhân Viên","40 triệu","Đang cập nhật",https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______a8b2e9f1fd8ae66b0cbd6e32d5a49a2c.jpg
52,"[tuyển gấp] Nhân viên Kinh Doanh Phần mềm","CÔNG TY TNHH MEDIASTEP SOFTWARE VIỆT NAM","Tân Bình, Hồ Chí Minh",18-12-2023,"Đang cập nhật","Nhân Viên","40 triệu","Đang cập nhật",https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______a8b2e9f1fd8ae66b0cbd6e32d5a49a2c.jpg
53,"[tuyển gấp] Nhân viên Kinh Doanh Phần mềm","CÔNG TY TNHH MEDIASTEP SOFTWARE VIỆT NAM","Tân Bình, Hồ Chí Minh",18-12-2023,"Đang cập nhật","Nhân Viên","40 triệu","Đang cập nhật",https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______a8b2e9f1fd8ae66b0cbd6e32d5a49a2c.jpg
54,"Nhân Viên Dịch Vụ Khách Hàng Phần Mềm","Công ty Cổ phần Công nghệ KiotViet","Hà Nội",06-12-2023,"Dưới 1 năm","Nhân Viên","12 - 15 triệu","Đang cập nhật",https://cdn1.123job.vn/123job/uploads/2023/03/03/2023_03_03______77ce769790713ef2553bb93b7170ae4c.png
55,"Chuyên Viên Tư Vấn Phần Mềm","Mediastep Software Inc.","Thanh Khê, Đà Nẵng",13-12-2023,"Dưới 2 năm","Nhân Viên","10 triệu/giờ","Đang cập nhật",https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______57087128cc6473bf2a3b3dd06404a7ff.png
56,"Nhân viên Triển khai phần mềm","FPT IS","Hà Nội",17-12-2023,"Đang cập nhật","Nhân Viên","Cập nhật","Đang cập nhật",https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______52ca7016d5fe4280c05eb0a38ee46139.png
57,"Nhân Viên Marketing Phần Mềm Bán Hàng","Công ty Cổ phần công nghệ phần mềm Ssoft Việt Nam","Hà Nội",10-12-2023,"Dưới 1 năm","Nhân Viên","7 - 10 triệu","Đang cập nhật",https://cdn1.123job.vn/123job/uploads/2023/03/17/2023_03_17______ee6095af862dfd061897ef24a232af86.jpg
58,"Nhân Viên Kinh Doanh Phần Mềm","Công Ty Cổ Phần Quảng Cáo Digi Hero","Hà Đông, Hà Nội",21-12-2023,"Trên 1 năm","Nhân Viên","16 - 30 triệu","Đang cập nhật",https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______527b37c70b28e1a9210c09607a1cf015.jpg
59,"Nhân Viên Triển Khai Phần Mềm","Công Ty TNHH Đối Tác Việt","Quận 1, Hồ Chí Minh",29-12-2023,"Dưới 1 năm","Nhân Viên","Cập nhật","Đang cập nhật",https://cdn1.123job.vn/123job/uploads/2023/02/28/2023_02_28______97f989a68b9a6317ebaec1a2eaf952ef.jpg
60,"Nhân Viên Kinh Doanh (Phần Mềm)","Công ty TNHH Giải pháp công nghệ thông minh TT","Thủ Đức, Hồ Chí Minh",27-12-2023,"1 - 3 năm","Nhân Viên","Cập nhật","Đang cập nhật",/images/no_company.png
61,"Chuyên Viên Hỗ Trợ Triển Khai Phần Mềm Logistics","Trung tâm Công nghệ thông tin - Tổng Công ty Bưu điện Việt Nam","Hà Nội",31-12-2023,"1 năm","Nhân Viên","10 - 15 triệu","Đang cập nhật",https://cdn1.123job.vn/123job/uploads/2023/03/14/2023_03_14______f06d19cf7d09b97b2826b401913ce5e6.jpg
62,"Sale Leader (Phần Mềm GoSELL / Alibaba.com)STEPMEDIA SOFTWARE","STEPMEDIA SOFTWARE","Hòa Bình",15-02-2024,"3 năm kinh nghiệm","Nhân Viên","17 - 25 triệu","Đang cập nhật",/images/no_company.png
63,"Nhân Viên Triển Khai Phần Mềm Kế Toán","Công Ty TNHH Phần Mềm Dami","Gò Vấp, Hồ Chí Minh",29-12-2023,"Trên 1 năm","Nhân Viên","Cập nhật","Đang cập nhật",https://cdn1.123job.vn/123job/uploads/2023/02/14/2023_02_14______dbb58d078eafc166cec51604a0a9ccb5.jpg
64,"Chuyên Viên Triển Khai Phần Mềm","FPT Information System","Hà Nội",31-12-2023,"1 năm","Nhân Viên","Cập nhật","Đang cập nhật",/images/no_company.png
65,"Business Consultant (Phần Mềm GoSELL/Alibaba.com)STEPMEDIA SOFTWARE","STEPMEDIA SOFTWARE","Ba Đình, Hai Bà Trưng, Hà Nội",15-02-2024,"1 năm kinh nghiệm","Nhân Viên","5 triệu","Đang cập nhật",/images/no_company.png
66,"Nhân Viên Kinh Doanh Phần Mềm","CÔNG TY CỔ PHẦN HOSCO VIỆT NAM","Hà Nội",03-12-2023,"Dưới 1 năm","Nhân Viên","10 - 20 triệu","Đang cập nhật",https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______0638e73c71305c4be9a0c624b7d18e6c.jpg
67,"Nhân Viên Sale Phần Mềm Bán Hàng","Công ty TNHH Mediastep Software VN","Hà Nội",20-12-2023,"Dưới 1 năm","Nhân Viên","10 - 20 triệu","Đang cập nhật",https://cdn1.123job.vn/123job/uploads/2023/03/29/2023_03_29______d5607e2a8f1addb5ec563965c4b80b99.png
68,"Tester - Chuyên Viên Kiểm Thử Phần Mềm","Công ty cổ phần ITS GLOBAL","Hà Nội",21-12-2023,"2 năm","Nhân Viên","13 - 22 triệu","Đang cập nhật",https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______8f4b27c56d63569a11511e197e3d44ef.jpg
69,"Nhân Viên Kinh Doanh Phần Mềm","Công ty Cổ Phần Salemall","Hà Nội",13-12-2023,"1 năm","Nhân Viên","15 - 30 triệu","Đang cập nhật",https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______6bb73d80296cbebcb724d587bfddf4b8.jpg
70,"Nhân Viên Kinh Doanh Phần Mềm Bán Hàng","CÔNG TY TNHH MEDIASTEP SOFTWARE VIỆT NAM","Hà Nội",20-12-2023,"Dưới 1 năm","Nhân Viên","15 - 30 triệu","Đang cập nhật",https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______a8b2e9f1fd8ae66b0cbd6e32d5a49a2c.jpg
71,"Nhân Viên Kỹ Thuật Viễn Thông","Công Ty TNHH Thương Mại Và Dịch Vụ Song Đan",TP.HCM,30/11/2023,"Yêu cầu kinh nghiệm","2 tháng","7 - 10 triệu","Trung cấp",https://cdn1.vieclam24h.vn/images/employer_avatar/2023/09/21/sd_169527930557.jpg
72,"Nhân Viên Kinh Doanh Fpt Telecom (Quận 4, Quận 7, Nhà Bè)","Công Ty Cổ Phần Viễn Thông Fpt",TP.HCM,23/11/2023,"Yêu cầu kinh nghiệm","Chuyên viên- nhân viên","8 - 20 triệu","Trung cấp",https://cdn1.vieclam24h.vn/file_uploads/employer/5ef98ef5651ec_1593413365.jpg
73,"Nhân Viên Content Marketing Lương Upto 12 Triệu - Đi Làm Ngay","Công Ty TNHH Thẩm Mỹ Viện Saigonstar",TP.HCM,25/11/2023,"Yêu cầu kinh nghiệm","2 tháng","8 - 12 triệu","Cao đẳng",https://cdn1.vieclam24h.vn/tvn/asset/home/img/employer/5f350783a06db_1597310851.jpg
74,"Nhân Viên Đào Tạo","Công Ty TNHH Một Thành Viên Chuyển Phát Nhanh Thuận Phong - Chi Nhánh Thành Phố Hồ Chí Minh",TP.HCM,07/12/2023,"Yêu cầu kinh nghiệm","Chuyên viên- nhân viên","8 - 11 triệu","Cao đẳng",https://cdn1.vieclam24h.vn/images/default/2022/04/25/images/165087488293.png
75,"Giám Đốc Nhân Sự","Công Ty Cổ Phần Nguyên Vật Liệu Và Xây Dựng Mb","Hà Nội",15/12/2023,"Yêu cầu kinh nghiệm","2 tháng","32 - 45 triệu","Đại học",/img/vieclam24h_logo_customer.jpg
76,"Thực Tập Sinh Nhân Sự Part-Time","Công Ty Cổ Phần Đầu Tư Nguyễn Tấn","Hà Nội",10/12/2023,"Yêu cầu kinh nghiệm","2 tháng","0.1 - 0.2 triệu","Cao đẳng",https://cdn1.vieclam24h.vn/images/default/2022/04/04/images/164904231772.png
77,"Kỹ Thuật Viên Máy Tính - Camera","Bệnh Viện Máy Tính Net - Ngọc Lễ","TP.HCM ,",30/11/2023,"Yêu cầu kinh nghiệm","1 tháng","7 - 12 triệu","Trung cấp",https://cdn1.vieclam24h.vn/tvn/asset/home/img/employer/5cdb7852859a7_1557887058.jpg
78,"Nhân Viên Hành Chính - Nam Từ Liêm","Công ty Cổ Phần Vinhomes","Hà Nội",31/12/2023,"Yêu cầu kinh nghiệm","2 tháng","9 - 11 triệu","Trung cấp",https://cdn1.vieclam24h.vn/images/old_employer_avatar/images/e156f68da2d12b1485d4579e86d10f10_4876858_vieclam24h_1581913790.png
79,"Nhân Viên Thu Tiền Điện, Điện Thoại, Nước Và Internet","Công Ty CP Tập Đoàn Bee Việt",TP.HCM,09/12/2023,"Yêu cầu kinh nghiệm","Chuyên viên- nhân viên","8 - 12 triệu","Trung học",https://cdn1.vieclam24h.vn/images/employer_avatar/2023/08/17/Screenshot_1_169224164260.png
80,"Nhân Viên Truyền Thông","Công Ty CP Dịch Vụ Bảo Vệ Ngân Hàng Á Châu",TP.HCM,06/12/2023,"Yêu cầu kinh nghiệm","2 tháng","8 - 10 triệu","Cao đẳng",https://cdn1.vieclam24h.vn/upload/files_cua_nguoi_dung/logo/2020/09/29/5066260_vieclam24h_1601342394.jpg
81,"Nhân Viên Kinh Doanh","Công Ty Cổ Phần Chuyển Phát Nhanh Vip","Hà Nội",28/11/2023,"Yêu cầu kinh nghiệm","2 tháng","8 - 12 triệu","Trung cấp",/img/vieclam24h_logo_customer.jpg
82,"Nhân Viên Kinh Doanh","Công Ty Cổ Phần Đầu Tư Thương Mại Phát Triển Nhất Tín - Chi Nhánh Đồng Nai","Đồng Nai",30/11/2023,"Yêu cầu kinh nghiệm","02 tháng","7 - 20 triệu","Trung cấp",https://cdn1.vieclam24h.vn/images/default/2020/12/04/images/img_vieclam24h_vn_160706989469.png
83,"Nhân Viên Kinh Doanh Online","Bưu Điện Tp. Hồ Chí Minh - Chi Nhánh Tổng Công Ty Bưu Điện Việt Nam",TP.HCM,26/11/2023,"Yêu cầu kinh nghiệm","Chuyên viên- nhân viên","7 - 15 triệu","Trung cấp","https://cdn1.vieclam24h.vn/images/default/2023/07/28/HCMPOST 2_169053003221.jpg"
84,"Nhân Viên Phân Loại Hàng Hóa Tại Thành Phố  Huế","Công  Ty TNHH SPX Express","Thừa Thiên Huế",25/11/2023,"Yêu cầu kinh nghiệm","Chuyên viên- nhân viên","8 - 10 triệu","Trung cấp",https://cdn1.vieclam24h.vn/images/employer_avatar/2023/11/09/sp_169949753674.jpg
85,"Marketing Executive","Công Ty TNHH Thương Mại Dịch Vụ Giao Nhận Xuất Nhập Khẩu Ánh Minh",TP.HCM,12/12/2023,"Yêu cầu kinh nghiệm","02 tháng","10 - 15 triệu","Đại học",https://cdn1.vieclam24h.vn/images/default/2022/06/20/images/165571029259.jpeg
86,"Nhân Viên Kế Toán Thuế","Công Ty Cổ Phần Quốc Tế Vietant","Hà Nội",30/11/2023,"Yêu cầu kinh nghiệm","1 tháng","12 - 14 triệu","Cao đẳng",https://cdn1.vieclam24h.vn/images/employer_avatar/2023/11/10/unnamed_169959147027.jpg
87,"Nhân Viên Bán Hàng (Lương Cứng + % Hoa Hồng) - Phỏng Vấn Đi Làm Ngay","Công Ty Trách Nhiệm Hữu Hạn Sản Xuất Và Thương Mại Trang Thiết Bị Y Tế Ids","Hà Nội",30/11/2023,"Yêu cầu kinh nghiệm","1 tháng","7 - 25 triệu","Cao đẳng",https://cdn1.vieclam24h.vn/images/employer_avatar/2023/10/31/z4835477501553_326f9d69d25de75b1d1e14904fdd0680_169874504228.jpg
88,"Nhân Viên Kinh Doanh - Lương Tới 22 Triệu","Công Ty Cổ Phần Quốc Tế Toàn Mỹ","Hà Nội",30/11/2023,"Yêu cầu kinh nghiệm","Chuyên viên- nhân viên","15 - 22 triệu","Trung cấp",/img/vieclam24h_logo_customer.jpg
89,"Thực Tập Sinh Nhân Sự","Công Ty Cổ Phần Giải Pháp Nhân Sự Việt Nam","Hà Nội",10/12/2023,"Yêu cầu kinh nghiệm","Cộng tác viên","1 - 1.5 triệu","Cao đẳng",https://cdn1.vieclam24h.vn/images/default/2021/10/01/images/img_vieclam24h_vn_163307805787.jpeg
90,"Việc Làm Tiếng Nhật Tại Hồ Chí Minh","Công Ty TNHH Gifu Kogyo Việt Nam",TP.HCM,07/12/2023,"Yêu cầu kinh nghiệm","1 tháng","10 - 12 triệu","Cao đẳng",https://cdn1.vieclam24h.vn/tvn/images/old_employer_avatar/images/6bb84417087af81bfb7710477e9c3656_gifu_gkv_vn_cong_ty_tnhh_gifu_kogyo_vietnam.jpeg
101,"Nhân Viên PG / PB (Promotion Girl / Boy) Nhà Hàng Quận 1","RESTAURANT DAI VIET - THE RICE HOTEL COMPANY LIMITED",TP.HCM,11/12/2023,"Yêu cầu kinh nghiệm","1 tháng","4 - 5 triệu","Cao đẳng",https://cdn1.vieclam24h.vn/images/default/2022/07/30/images/165914399416.png
102,"Nhân Viên Kỹ Thuật Viễn Thông","Công Ty TNHH Thương Mại Và Dịch Vụ Song Đan",TP.HCM,30/11/2023,"Yêu cầu kinh nghiệm","2 tháng","7 - 10 triệu","Trung cấp",https://cdn1.vieclam24h.vn/images/employer_avatar/2023/09/21/sd_169527930557.jpg
103,"Nhân Viên Kinh Doanh Fpt Telecom (Quận 4, Quận 7, Nhà Bè)","Công Ty Cổ Phần Viễn Thông Fpt",TP.HCM,23/11/2023,"Yêu cầu kinh nghiệm","Chuyên viên- nhân viên","8 - 20 triệu","Trung cấp",https://cdn1.vieclam24h.vn/file_uploads/employer/5ef98ef5651ec_1593413365.jpg
104,"Nhân Viên Content Marketing Lương Upto 12 Triệu - Đi Làm Ngay","Công Ty TNHH Thẩm Mỹ Viện Saigonstar",TP.HCM,25/11/2023,"Yêu cầu kinh nghiệm","2 tháng","8 - 12 triệu","Cao đẳng",https://cdn1.vieclam24h.vn/tvn/asset/home/img/employer/5f350783a06db_1597310851.jpg
105,"Nhân Viên Đào Tạo","Công Ty TNHH Một Thành Viên Chuyển Phát Nhanh Thuận Phong - Chi Nhánh Thành Phố Hồ Chí Minh",TP.HCM,07/12/2023,"Yêu cầu kinh nghiệm","Chuyên viên- nhân viên","8 - 11 triệu","Cao đẳng",https://cdn1.vieclam24h.vn/images/default/2022/04/25/images/165087488293.png
106,"Nhân Viên Kinh Doanh Phần Mềm","CÔNG TY CỔ PHẦN HOSCO VIỆT NAM","Hà Nội",03-12-2023,"Dưới 1 năm","Nhân Viên","10 - 20 triệu","Đang cập nhật",https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______0638e73c71305c4be9a0c624b7d18e6c.jpg
107,"Tester - Chuyên Viên Kiểm Thử Phần Mềm","Công ty cổ phần ITS GLOBAL","Hà Nội",21-12-2023,"2 năm","Nhân Viên","13 - 22 triệu","Đang cập nhật",https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______8f4b27c56d63569a11511e197e3d44ef.jpg
108,"Nhân Viên Kinh Doanh Phần Mềm","Công ty Cổ Phần Salemall","Hà Nội",13-12-2023,"1 năm","Nhân Viên","15 - 30 triệu","Đang cập nhật",https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______6bb73d80296cbebcb724d587bfddf4b8.jpg
109,"Nhân Viên Sale Phần Mềm Bán Hàng","Công ty TNHH Mediastep Software VN","Hà Nội",20-12-2023,"Dưới 1 năm","Nhân Viên","10 - 20 triệu","Đang cập nhật",https://cdn1.123job.vn/123job/uploads/2023/03/29/2023_03_29______d5607e2a8f1addb5ec563965c4b80b99.png
110,"Nhân Viên Kinh Doanh Phần Mềm Bán Hàng","CÔNG TY TNHH MEDIASTEP SOFTWARE VIỆT NAM","Hà Nội",20-12-2023,"Dưới 1 năm","Nhân Viên","15 - 30 triệu","Đang cập nhật",https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______a8b2e9f1fd8ae66b0cbd6e32d5a49a2c.jpg
111,"Nhân Viên Hành Chính - Nam Từ Liêm","Công ty Cổ Phần Vinhomes","Hà Nội",31/12/2023,"Yêu cầu kinh nghiệm","2 tháng","9 - 11 triệu","Trung cấp",https://cdn1.vieclam24h.vn/images/old_employer_avatar/images/e156f68da2d12b1485d4579e86d10f10_4876858_vieclam24h_1581913790.png
112,"Nhân Viên Thu Tiền Điện, Điện Thoại, Nước Và Internet","Công Ty CP Tập Đoàn Bee Việt",TP.HCM,09/12/2023,"Yêu cầu kinh nghiệm","Chuyên viên- nhân viên","8 - 12 triệu","Trung học",https://cdn1.vieclam24h.vn/images/employer_avatar/2023/08/17/Screenshot_1_169224164260.png
113,"Nhân Viên Truyền Thông","Công Ty CP Dịch Vụ Bảo Vệ Ngân Hàng Á Châu",TP.HCM,06/12/2023,"Yêu cầu kinh nghiệm","2 tháng","8 - 10 triệu","Cao đẳng",https://cdn1.vieclam24h.vn/upload/files_cua_nguoi_dung/logo/2020/09/29/5066260_vieclam24h_1601342394.jpg
114,"Nhân Viên Kinh Doanh","Công Ty Cổ Phần Chuyển Phát Nhanh Vip","Hà Nội",28/11/2023,"Yêu cầu kinh nghiệm","2 tháng","8 - 12 triệu","Trung cấp",/img/vieclam24h_logo_customer.jpg
115,"Nhân Viên Kinh Doanh","Công Ty Cổ Phần Đầu Tư Thương Mại Phát Triển Nhất Tín - Chi Nhánh Đồng Nai","Đồng Nai",30/11/2023,"Yêu cầu kinh nghiệm","02 tháng","7 - 20 triệu","Trung cấp",https://cdn1.vieclam24h.vn/images/default/2020/12/04/images/img_vieclam24h_vn_160706989469.png
116,"Nhân viên tư vấn phần mềm (mức lương 10 - 15 triệu)","Hoàng Hoàng","Quận Lê Chân, Hải Phòng",13-01-2024,"2 năm kinh nghiệm","Nhân Viên","10 - 15 triệu","Đang cập nhật",/images/no_company.png
117,"Nhân Viên Sale - Demo Phần Mềm","Mediastep Software VN","Hà Nội",21-12-2023,"1 năm","Nhân Viên","8 - 20 triệu","Đang cập nhật",https://cdn1.123job.vn/123job/uploads/2023/02/09/2023_02_09______d4f18c754bee7f6baf7281be164966db.png
118,"[Việc làm] kỹ thuật phần mềm 2 - 3.5 triệu","Thu Trang NT","Bình Dương",14-12-2023,"Đang cập nhật","Nhân Viên","2 - 3.5 triệu","Đang cập nhật",/images/no_company.png
